Date		Origin Domestic Airline			Price	Type
3/14/2014	SFO	Portland	Virgin America	$26	Domestic	
3/14/2014	SFO	Portland	Virgin America	$26	Domestic	
9/14/2014	IAD	St. Augustine, Florida	Frontier	$32	Domestic	
9/14/2014	IAD	Memphis	Frontier	$32	Domestic	
12/30/2016	SJC	Long Beach, California	jetBlue	$36	Domestic	
12/30/2016	SJC	Long Beach, California	jetBlue	$36	Domestic	
4/27/2015	DAL	Austin, Texas	Virgin America	$36	Domestic	
9/14/2014	IAD	Detroit	Frontier	$36	Domestic	
9/28/2016	NYC	Boston	jetBlue	$38	Domestic	
9/28/2016	NYC	Burlington, Vermont	jetBlue	$38	Domestic	
9/28/2016	SFO	Long Beach	jetBlue	$38	Domestic	
9/28/2016	SFO	Las Vegas	jetBlue	$38	Domestic	
9/28/2016	LGB	Las Vegas	jetBlue	$38	Domestic	
9/28/2016	LGB	Sacramento	jetBlue	$38	Domestic	
9/28/2016	LGB	San Francisco	jetBlue	$38	Domestic	
9/28/2016	LGB	Oakland	jetBlue	$38	Domestic	
9/28/2016	WAS	Boston	jetBlue	$38	Domestic	
9/28/2016	BOS	New York	jetBlue	$38	Domestic	
9/28/2016	BOS	Washington D.C.	jetBlue	$38	Domestic	
12/31/2014	IAD	Chicago	Frontier	$40	Domestic	
12/31/2014	IAD	Chicago	Frontier	$40	Domestic	
4/11/2013	FLL	Tampa	United	$44	Domestic	The Shorthaul
10/29/2017	PHL	Fort Lauderdale	American	$48	Domestic	
10/29/2017	PHL	Fort Lauderdale	American	$48	Domestic	
8/27/2017	DFW	Denver	American	$48	Domestic	
2/23/2016	LAX	Stockholm, Sweden	SAS	$48	International	One-Way
6/20/2015	DFW	Austin, Texas	Virgin America	$52	Domestic	
10/30/2015	PHL	Atlanta	American	$53	Domestic	
10/30/2017	PHL	Orlando	American	$54	Domestic	
8/22/2017	MIA	Atlanta	American	$56	Domestic	
12/29/2016	SFO	Las Vegas	United / jetBlue / Virgin America 	$56	Domestic	The Shorthaul
